City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Juneau,US,2021-02-04 12:16:14,58.3019,-134.4197,30.0,86,90,3.44
211,Necochea,AR,2021-02-04 12:16:12,-38.5473,-58.7368,66.99,83,0,3.0
212,Wanxian,CN,2021-02-04 12:21:23,30.8039,108.3897,50.88,82,100,4.47
213,Monrovia,LR,2021-02-04 12:21:23,6.3005,-10.7969,89.6,66,75,4.61
214,Tulum,MX,2021-02-04 12:21:23,20.2167,-87.4667,62.6,94,40,4.25
215,Kedrovyy,RU,2021-02-04 12:21:23,56.1667,91.8167,15.8,73,40,13.42
216,Saint-Junien,FR,2021-02-04 12:21:24,45.8833,0.9,55.0,87,0,6.91
217,Fano,IT,2021-02-04 12:21:24,43.8204,13.0121,60.01,100,75,10.36
218,Balikpapan,ID,2021-02-04 12:21:24,-1.2675,116.8289,77.85,88,96,4.81
219,Padang,ID,2021-02-04 12:17:12,-0.9492,100.3543,82.4,78,40,1.14
220,Siguiri,GN,2021-02-04 12:21:25,11.6667,-9.5,96.84,8,6,4.23
221,Port Hardy,CA,2021-02-04 12:15:06,50.6996,-127.4199,41.0,100,90,16.11
222,Qarayeri,AZ,2021-02-04 12:21:25,40.7886,46.3066,64.4,24,40,6.91
223,Bandarbeyla,SO,2021-02-04 12:15:48,9.4942,50.8122,77.14,55,11,15.12
224,Itarema,BR,2021-02-04 12:21:25,-2.9248,-39.9167,84.51,64,99,16.08
225,Sarangpur,IN,2021-02-04 12:21:25,23.5667,76.4667,80.37,24,41,9.62
226,Taihe,CN,2021-02-04 12:21:25,30.8712,105.3845,53.8,74,67,6.44
227,Fortuna,US,2021-02-04 12:15:19,40.5982,-124.1573,37.99,100,75,8.05
228,Port Elizabeth,ZA,2021-02-04 12:15:43,-33.918,25.5701,78.8,57,40,9.22
229,Harbour Breton,CA,2021-02-04 12:21:26,47.4833,-55.7983,40.77,95,99,6.69
230,Hede,CN,2021-02-04 12:21:27,33.7681,120.2517,37.58,77,9,6.8
231,Liverpool,GB,2021-02-04 12:21:27,53.4106,-2.9779,44.6,87,96,10.36
232,Ossora,RU,2021-02-04 12:21:27,59.2353,163.0719,16.5,94,92,9.55
233,Tokur,RU,2021-02-04 12:21:27,53.1333,132.9,-37.77,85,99,3.91
234,Komsomolskiy,UZ,2021-02-04 12:16:51,40.4272,71.7189,51.8,40,2,4.61
235,Paamiut,GL,2021-02-04 12:16:04,61.994,-49.6678,10.53,76,0,7.85
236,Cherskiy,RU,2021-02-04 12:15:04,68.75,161.3,-6.12,66,0,9.15
237,Saint George,US,2021-02-04 12:13:46,37.1041,-113.5841,42.01,60,1,9.22
238,Mareeba,AU,2021-02-04 12:16:44,-17.0,145.4333,80.6,78,40,1.14
239,Kieta,PG,2021-02-04 12:17:03,-6.2167,155.6333,78.64,80,100,3.02
240,Port-Gentil,GA,2021-02-04 12:21:28,-0.7193,8.7815,87.8,74,40,9.22
241,Beringovskiy,RU,2021-02-04 12:21:28,63.05,179.3167,-2.97,92,100,21.52
242,Balabac,PH,2021-02-04 12:21:28,7.9868,117.0645,79.97,82,100,12.35
243,Cabo San Lucas,MX,2021-02-04 12:17:30,22.8909,-109.9124,66.0,44,73,1.01
244,Toora-Khem,RU,2021-02-04 12:21:15,52.4675,96.11,20.32,95,100,3.89
245,Northam,GB,2021-02-04 12:21:29,51.0333,-4.2167,52.0,88,77,4.0
246,Kaitangata,NZ,2021-02-04 12:15:01,-46.2817,169.8464,54.0,71,0,14.0
247,Luderitz,NA,2021-02-04 12:15:45,-26.6481,15.1594,75.72,51,0,21.18
248,Belmonte,BR,2021-02-04 12:21:29,-15.8631,-38.8828,80.6,69,40,2.3
249,Koslan,RU,2021-02-04 12:21:29,63.4564,48.8989,15.08,96,100,9.98
250,Codrington,AU,2021-02-04 12:13:33,-38.2667,141.9667,67.41,53,98,10.94
251,Okato,NZ,2021-02-04 12:21:29,-39.2,173.8833,53.01,55,0,15.01
252,Traverse City,US,2021-02-04 12:18:27,44.7631,-85.6206,28.4,74,75,5.75
253,Bawku,GH,2021-02-04 12:21:29,11.0616,-0.2417,98.33,8,48,11.34
254,Georgetown,MY,2021-02-04 12:14:33,5.4112,100.3354,86.0,51,20,10.36
255,San Patricio,US,2021-02-04 12:15:25,28.017,-97.5169,64.0,94,20,11.5
256,Omsukchan,RU,2021-02-04 12:21:30,62.5333,155.8,-15.56,86,100,6.85
257,Sitka,US,2021-02-04 12:13:42,57.0531,-135.33,37.4,93,90,8.05
258,West Odessa,US,2021-02-04 12:21:30,31.8424,-102.4988,59.0,29,1,11.5
259,Bengkulu,ID,2021-02-04 12:16:27,-3.8004,102.2655,79.52,83,59,2.68
260,Balakirevo,RU,2021-02-04 12:21:13,56.5059,38.8432,22.86,96,99,4.92
261,Jalu,LY,2021-02-04 12:15:18,29.0331,21.5482,69.08,38,0,11.14
262,Dukat,RU,2021-02-04 12:21:31,62.55,155.55,-16.73,88,100,6.58
263,Katesh,TZ,2021-02-04 12:21:31,-4.5167,35.3833,72.52,73,44,3.36
264,Kikwit,CD,2021-02-04 12:21:31,-5.041,18.8162,90.54,48,44,5.44
265,Esperance,AU,2021-02-04 12:15:15,-33.8667,121.9,59.0,67,90,14.97
266,Amot,NO,2021-02-04 12:21:31,59.5714,7.9877,18.0,57,0,2.3
267,Scarborough,GB,2021-02-04 12:21:31,54.2797,-0.4044,42.01,95,100,5.01
268,Omboue,GA,2021-02-04 12:21:31,-1.5746,9.2618,85.24,71,75,8.48
269,Kudahuvadhoo,MV,2021-02-04 12:21:32,2.6708,72.8944,81.36,81,93,17.09
270,Waipawa,NZ,2021-02-04 12:21:32,-41.4122,175.5153,57.2,72,90,24.16
271,Namibe,AO,2021-02-04 12:21:33,-15.1961,12.1522,77.0,44,20,4.61
272,Bhan,PK,2021-02-04 12:21:33,26.5583,67.7214,79.38,17,0,11.14
273,Ostrovnoy,RU,2021-02-04 12:15:54,68.0531,39.5131,12.18,94,100,16.51
274,Nadym,RU,2021-02-04 12:21:33,65.5333,72.5167,-8.39,91,94,9.78
275,Piltene,LV,2021-02-04 12:21:33,57.2243,21.6744,24.8,80,90,10.36
