City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
267,Polunochnoye,RU,60.8697,60.4153,-18.58,89,100,12.35,light snow
268,Rizhao,CN,35.4275,119.4553,42.69,64,20,13.82,few clouds
269,La Reforma,MX,25.0833,-108.05,62.01,91,24,4.47,few clouds
270,Takoradi,GH,4.8845,-1.7554,79.18,87,0,10.4,clear sky
271,Macatuba,BR,-22.5022,-48.7114,69.01,75,3,7.0,clear sky
272,Inhambane,MZ,-23.865,35.3833,75.94,89,86,7.0,overcast clouds
273,Chernyshevskiy,RU,63.0128,112.4714,-22.34,89,100,2.44,overcast clouds
274,Vanavara,RU,60.34,102.2797,15.15,96,100,10.18,light snow
275,Kouango,CF,4.9934,19.9619,67.05,28,3,3.42,clear sky
276,Kloulklubed,PW,7.0419,134.2556,84.2,79,75,12.66,broken clouds
277,Plougastel-Daoulas,FR,48.3667,-4.3667,41.0,81,90,5.75,overcast clouds
278,Porto Belo,BR,-27.1578,-48.5531,69.8,83,0,5.75,clear sky
279,Aklavik,CA,68.2191,-135.0107,-16.6,76,100,5.75,overcast clouds
280,Matiri,TZ,-10.75,34.9,63.09,100,100,2.04,moderate rain
281,Mayumba,GA,-3.432,10.6554,79.63,82,100,3.62,light rain
282,Aripuana,BR,-9.1667,-60.6333,71.98,99,100,2.15,overcast clouds
283,Prince Rupert,CA,54.3161,-130.3201,39.2,87,75,6.91,broken clouds
284,Faanui,PF,-16.4833,-151.75,82.71,67,1,8.75,clear sky
285,Naberera,TZ,-4.2,36.9333,63.88,96,100,2.91,light rain
286,Richards Bay,ZA,-28.783,32.0377,72.46,86,53,8.21,broken clouds
287,Mahibadhoo,MV,3.7833,72.9667,81.19,74,41,12.46,scattered clouds
288,Yeppoon,AU,-23.1333,150.7333,96.8,38,75,9.22,broken clouds
289,Roma,US,43.2128,-75.4557,15.01,73,1,3.89,clear sky
290,Puerto Escondido,MX,15.85,-97.0667,76.87,75,0,5.93,clear sky
291,Pulandian,CN,39.3953,121.9669,30.2,37,0,13.42,clear sky
292,Sola,VU,-13.8833,167.55,87.8,76,75,7.65,broken clouds
293,Sur,OM,22.5667,59.5289,67.62,56,0,6.46,clear sky
294,Pangnirtung,CA,66.1451,-65.7125,23.23,80,93,3.36,overcast clouds
295,Nakamura,JP,32.9833,132.9333,59.74,52,0,8.08,clear sky
296,Makakilo City,US,21.3469,-158.0858,78.8,44,1,13.8,clear sky
297,Salinas,US,36.6777,-121.6555,53.6,87,1,4.61,clear sky
298,Washington,US,47.5001,-120.5015,43.0,91,47,6.29,scattered clouds
299,Kilis,TR,36.7161,37.115,33.8,86,0,4.27,clear sky
300,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,94,75,17.27,broken clouds
301,Ozernovskiy,RU,51.5,156.5167,24.19,97,100,10.65,snow
302,Obera,AR,-27.4871,-55.1199,60.46,91,0,2.55,clear sky
303,Mendi,PG,-6.1761,143.6513,68.4,85,96,2.26,overcast clouds
304,Natitingou,BJ,10.3042,1.3796,77.0,29,30,4.61,scattered clouds
305,Gotsu,JP,35.0,132.2167,55.4,58,75,12.66,broken clouds
306,Camacha,PT,33.0833,-16.3333,57.2,72,20,10.36,few clouds
307,Togul,RU,53.465,85.9128,26.37,94,18,12.01,few clouds
308,Pozo Colorado,PY,-23.4923,-58.7972,67.19,71,0,4.72,clear sky
309,El Carmen De Bolivar,CO,9.7174,-75.1202,77.41,72,100,3.91,overcast clouds
310,Iroquois Falls,CA,48.7669,-80.6831,-5.8,92,40,2.3,light snow
311,Thinadhoo,MV,0.5333,72.9333,81.77,75,0,14.05,clear sky
312,Carutapera,BR,-1.195,-46.02,77.54,87,77,5.12,broken clouds
313,Mnogovershinnyy,RU,53.9353,139.9242,1.89,93,100,8.66,light snow
314,Riachao Das Neves,BR,-11.7461,-44.91,70.21,84,100,0.38,moderate rain
315,Svetlaya,RU,46.5389,138.3297,13.3,83,85,7.2,overcast clouds
316,Klaksvik,FO,62.2266,-6.589,35.6,64,75,17.27,broken clouds
317,Mecca,SA,21.4267,39.8261,64.13,55,0,5.86,clear sky
318,Coahuayana,MX,18.7333,-103.6833,69.62,86,0,2.68,clear sky
319,Moreira Sales,BR,-24.0622,-53.0069,61.68,84,0,5.64,clear sky
320,Olbia,IT,40.9214,9.4856,58.5,60,100,4.79,overcast clouds
321,Bengkulu,ID,-3.8004,102.2655,86.72,53,79,7.58,broken clouds
322,Harnosand,SE,62.6323,17.9379,14.0,85,1,11.5,clear sky
323,Nacala,MZ,-14.5428,40.6728,75.45,93,100,3.24,overcast clouds
324,Kropotkin,RU,45.4375,40.5756,25.47,98,100,1.19,snow
325,Sokoto,NG,13.0609,5.239,68.63,23,3,9.86,clear sky
326,Pasil,PH,17.3833,121.1333,75.76,70,39,3.8,scattered clouds
327,Clyde River,CA,70.4692,-68.5914,-11.2,84,20,2.3,few clouds
328,Tabuk,PH,17.4189,121.4443,82.74,69,53,3.11,broken clouds
329,Gizo,SB,-8.103,156.8419,83.1,71,100,4.27,overcast clouds
330,Taicheng,CN,38.731,113.228,32.34,78,0,3.29,clear sky
331,Melfort,CA,52.8667,-104.6177,-25.6,68,26,8.05,scattered clouds
332,Safakulevo,RU,54.9901,62.5442,6.98,92,100,19.93,overcast clouds
333,Carlyle,US,38.6103,-89.3726,23.0,86,100,3.0,snow
334,Bilibino,RU,68.0546,166.4372,-3.26,78,0,3.65,clear sky
335,Iqaluit,CA,63.7506,-68.5145,24.8,68,90,5.75,overcast clouds
336,Champerico,GT,14.3,-91.9167,64.0,92,0,6.69,clear sky
337,Maun,BW,-19.9833,23.4167,68.0,100,75,5.75,broken clouds
338,Kolda,SN,12.8833,-14.95,68.0,52,15,7.16,few clouds
339,Jalu,LY,29.0331,21.5482,56.7,46,0,9.53,clear sky
340,Dryden,CA,49.7833,-92.7503,-18.4,69,90,16.11,light snow
341,Dusetos,LT,55.75,25.85,-0.09,93,21,2.33,few clouds
342,Sakaiminato,JP,35.55,133.2333,53.6,62,75,11.5,broken clouds
343,Trojes,AL,41.756,19.962,41.0,93,63,4.61,broken clouds
344,Jiangkou,CN,25.4872,119.1986,66.2,72,90,6.71,overcast clouds
345,Andenes,NO,69.3143,16.1194,33.8,64,100,19.57,light snow
346,Atambua,ID,-9.1061,124.8925,81.36,76,74,6.62,broken clouds
347,Qitaihe,CN,45.8,130.85,-1.46,90,44,5.55,scattered clouds
